State,2000,House0,2002,House1,2004,House2,2006,House3,2008,House4,2010,House5,2012,House6,2014,House7,2016,House8,2018,House9,latitude,longitude
Arizona,,,,,,,,,56.7,Democrat,,,,,,,,,,,34.2930794,-111.6646957
Arkansas,47.9,Democrat,41.3,Democrat,53.6,Democrat,38.7,Democrat,52.5,Democrat,,,,,,,,,,,34.8999214,-92.4388657
California,55.7,Democrat,36.1,Democrat,58.8,Democrat,40.2,Democrat,60.9,Democrat,44,Democrat,55.1,Democrat,29.9,Democrat,56.5,Democrat,49.6,Democrat,37.2551003,-119.6175232
Colorado,,,,,,,47.3,Democrat,71,Democrat,,,,,,,,,63,Democrat,38.9985428,-105.5478134
Connecticut,61.9,Democrat,,,,,,Democrat,66.6,Democrat,45.9,Democrat,61.3,Democrat,42.3,Democrat,63.7,Democrat,54.4,Democrat,41.5735016,-72.7383041
Delaware,,,,,,,,,,,47.5,Democrat,62.3,Democrat,34.3,Democrat,64.2,Democrat,51.4,Democrat,39.0081253,-75.4674683
D.C.,48.3,Democrat,30.1,Democrat,54.3,Democrat,28.3,Democrat,61.5,Democrat,28.9,Democrat,61.5,Democrat,35.3,Democrat,60.4,Democrat,43.7,Democrat,38.906189,-77.0172653
Florida,,,,,,,,,,,,,,,,,,,54.9,Democrat,28.4925804,-82.4722214
Hawaii,44.2,Democrat,43.8,Democrat,48.2,Democrat,37.9,Democrat,48.8,Democrat,39.9,Democrat,44.2,Democrat,36.2,Democrat,42.3,Democrat,39.3,Democrat,19.5985184,-155.5185547
Illinois,56.2,Democrat,,,61.5,Democrat,40.2,Democrat,63.6,Democrat,,,58.9,Democrat,40.2,Democrat,61.6,Democrat,51.4,Democrat,40.1139374,-89.1587677
Indiana,,,,,,,36.6,Democrat,59.1,Democrat,,,,,,,,,,,39.9198036,-86.2817993
Iowa,,,,,,,48.1,Democrat,69.4,Democrat,49.9,Democrat,70.3,Democrat,,,,,57.7,Democrat,42.0746994,-93.4999695
Maine,67.2,Democrat,50.8,Democrat,73.8,Democrat,54.2,Democrat,70.6,Democrat,55.2,Democrat,68.2,Democrat,58.1,Democrat,70.7,Democrat,60.2,Democrat,45.3152809,-69.203949
Maryland,55.5,Democrat,46.3,Democrat,62.9,Democrat,46.7,Democrat,67,Democrat,46.4,Democrat,66.6,Democrat,41.7,Democrat,66.4,Democrat,54.2,Democrat,38.9525223,-76.7012177
