State,2000,House0,2002,House1,2004,House2,2006,House3,2008,House4,2010,House5,2012,House6,2014,House7,2016,House8,2018,House9,latitude,longitude
Alabama,51.6,Republican,41.5,Republican,57.2,Republican,37.5,Republican,60.8,Republican,43,Republican,58.6,Republican,32.9,Republican,58.8,Republican,47.3,Republican,32.7665024,-86.8403091
Alaska,68.1,Republican,54.2,Republican,69.1,Republican,51,Republican,68,Republican,51.9,Republican,58.7,Republican,54.2,Republican,61,Republican,54.6,Republican,63.1741219,-153.7042847
Arizona,45.6,Republican,35.9,Republican,54.1,Republican,38.9,Republican,56.7,Democrat,41,Republican,52.6,Republican,33.4,Republican,54.9,Republican,49.1,Republican,34.2930794,-111.6646957
Arkansas,47.9,,,,,,,,,,37.5,Republican,50.7,Republican,40.1,Republican,52.8,Republican,41.4,Republican,34.8999214,-92.4388657
Colorado,57.5,Republican,46.3,Republican,66.7,Republican,,,,,50.6,Republican,69.9,Republican,53.7,Republican,70,Republican,,,38.9985428,-105.5478134
Connecticut,,,42.3,Republican,65,Republican,,,,,,,,,,,,,,,41.5735016,-72.7383041
Florida,55.9,Republican,45.6,Republican,64.4,Republican,39.6,Republican,66.1,Republican,41.7,Republican,62.8,Republican,42.8,Republican,64.5,Republican,,,28.4925804,-82.4722214
Georgia,45.8,Republican,35.4,Republican,56.2,Republican,34.7,Republican,62.5,Republican,39.8,Republican,59,Republican,38.2,Republican,59.1,Republican,55,Republican,32.6483307,-83.4445572
Idaho,57.2,Republican,44.7,Republican,63.2,Republican,45.4,Republican,63.6,Republican,42.3,Republican,59.8,Republican,39.3,Republican,59.2,Republican,50,Republican,44.3890343,-114.6594162
Illinois,56.2,Democrat,41.4,Republican,,,,,,,42.4,Republican,58.9,,,,,,,,40.1139374,-89.1587677
Indiana,49.3,Republican,33.9,Republican,54.8,Republican,,,,,37.1,Republican,55.2,Republican,27.8,Republican,56.4,Republican,46.9,Republican,39.9198036,-86.2817993
Iowa,63.2,Republican,47.9,Republican,69.9,Republican,,,,,,,,,49.8,Republican,68.4,Republican,,,42.0746994,-93.4999695
Kansas,55.6,Republican,44,Republican,61.6,Republican,43.6,Republican,62,Republican,41.7,Republican,56.9,Republican,42.5,Republican,57.7,Republican,51.2,Republican,38.484726,-98.3801727
Kentucky,52.2,Republican,37.2,Republican,58.7,Republican,40.4,Republican,57.9,Republican,42.4,Republican,55.7,Republican,44.2,Republican,58.6,Republican,48.6,Republican,37.5272331,-85.2876205
Louisiana,56.4,Republican,39.4,Republican,61.1,Republican,29.7,Republican,61.2,Republican,38.9,Republican,60.2,Republican,43.9,Republican,60,Republican,44.8,Republican,30.9665108,-91.8519058
Michigan,,,44.5,Republican,66.6,Republican,52.1,Republican,,,44.5,Republican,64.7,Republican,42.7,Republican,64.7,Republican,,,44.8626175,-85.7351379
Mississippi,,,30.1,Republican,55.7,Republican,29.4,Republican,,,37,Republican,59.3,Republican,29,Republican,55.2,Republican,42.7,Republican,32.7218018,-89.6562424
Missouri,58.2,Republican,45.6,Republican,65.3,Republican,50,Republican,67.6,Republican,44.5,Republican,62.2,Republican,31.7,Republican,62.2,Republican,53.4,Republican,38.3679657,-92.4778824
Montana,61.6,Republican,48.4,Republican,64.4,Republican,56.4,Republican,66.3,Republican,47.5,Republican,62.5,Republican,46.9,Republican,61.8,Republican,62,Republican,47.0334816,-109.6450806
Nebraska,56.9,Republican,39.9,Republican,62.9,Republican,47.6,Republican,62.9,Republican,37.5,Republican,60.3,Republican,40.5,Republican,62.8,Republican,51.8,Republican,41.5272713,-99.8111038
