State,2000,Presidential0,2004,Presidential1,2008,Presidential2,2012,Presidential3,2016,Presidential4,latitude,longitude
Alabama,51.6,Republican,57.2,Republican,60.8,Republican,58.6,Republican,58.8,Republican,32.7665024,-86.8403091
Alaska,68.1,Republican,69.1,Republican,68,Republican,58.7,Republican,61,Republican,63.1741219,-153.7042847
Arizona,45.6,Republican,54.1,Republican,56.7,Republican,52.6,Republican,54.9,Republican,34.2930794,-111.6646957
Arkansas,47.9,Republican,53.6,Republican,52.5,Republican,50.7,Republican,52.8,Republican,34.8999214,-92.4388657
Colorado,57.5,Republican,66.7,Republican,,,,,,,38.9985428,-105.5478134
Florida,55.9,Republican,64.4,Republican,,,,,64.5,Republican,28.4925804,-82.4722214
Georgia,45.8,Republican,56.2,Republican,62.5,Republican,59,Republican,59.1,Republican,32.6483307,-83.4445572
Idaho,57.2,Republican,63.2,Republican,63.6,Republican,59.8,Republican,59.2,Republican,44.3890343,-114.6594162
Indiana,49.3,Republican,54.8,Republican,,,55.2,Republican,56.4,Republican,39.9198036,-86.2817993
Iowa,,,69.9,Republican,,,,,68.4,Republican,42.0746994,-93.4999695
Kansas,55.6,Republican,61.6,Republican,62,Republican,56.9,Republican,57.7,Republican,38.484726,-98.3801727
Kentucky,52.2,Republican,58.7,Republican,57.9,Republican,55.7,Republican,58.6,Republican,37.5272331,-85.2876205
Louisiana,56.4,Republican,61.1,Republican,61.2,Republican,60.2,Republican,60,Republican,30.9665108,-91.8519058
Michigan,,,,,,,,,64.7,Republican,44.8626175,-85.7351379
Mississippi,49.1,Republican,55.7,Republican,61,Republican,59.3,Republican,55.2,Republican,32.7218018,-89.6562424
Missouri,58.2,Republican,65.3,Republican,67.6,Republican,62.2,Republican,62.2,Republican,38.3679657,-92.4778824
Montana,61.6,Republican,64.4,Republican,66.3,Republican,62.5,Republican,61.8,Republican,47.0334816,-109.6450806
Nebraska,56.9,Republican,62.9,Republican,62.9,Republican,60.3,Republican,62.8,Republican,41.5272713,-99.8111038
Nevada,45.2,Republican,55.3,Republican,,,,,,,39.3564186,-116.6554108
New Hampshire,63.9,Republican,,,,,,,,,43.6855278,-71.5775986
New Mexico,,,59,Republican,,,,,,,34.4213219,-106.1084061
North Carolina,50.7,Republican,57.8,Republican,,,64.8,Republican,64.5,Republican,35.5393562,-79.185379
North Dakota,60.3,Republican,64.8,Republican,62.7,Republican,59.8,Republican,60.8,Republican,47.4462967,-100.469429
Ohio,56.7,Republican,66.8,Republican,,,,,62.9,Republican,40.4130516,-82.7112198
Oklahoma,49.9,Republican,58.3,Republican,55.8,Republican,49.2,Republican,52.3,Republican,35.5826988,-97.5086212
Pennsylvania,,,,,,,,,63.6,Republican,40.8965111,-77.8387527
South Carolina,47,Republican,53,Republican,58,Republican,56.3,Republican,56.7,Republican,33.9038544,-80.8937683
South Dakota,57.7,Republican,68.2,Republican,64.7,Republican,59.3,Republican,58.6,Republican,44.4361496,-100.2305069
Tennessee,49.9,Republican,56.3,Republican,57,Republican,51.9,Republican,51.1,Republican,35.8430023,-86.3430481
Texas,49.2,Republican,53.7,Republican,54.1,Republican,49.6,Republican,51.4,Republican,31.4627552,-99.3330307
Utah,53.8,Republican,58.9,Republican,56,Republican,55.5,Republican,56.8,Republican,39.3237381,-111.6782379
Virginia,54,Republican,60.6,Republican,,,,,,,37.5127869,-78.6980972
West Virginia,46.6,Republican,54.1,Republican,49.9,Republican,46.3,Republican,50.2,Republican,38.6424141,-80.6136169
Wisconsin,,,,,,,,,69.5,Republican,44.6417847,-89.7367401
Wyoming,59.2,Republican,65.7,Republican,62.8,Republican,58.6,Republican,59.5,Republican,42.9995766,-107.5515213
