State,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,latitude,longitude
Alabama,51.60,41.50,57.20,37.50,60.80,43.00,58.60,32.90,58.80,47.30,32.7665024,-86.8403091
Alaska,68.10,54.20,69.10,51.00,68.00,51.90,58.70,54.20,61.00,54.60,63.1741219,-153.7042847
Arizona,45.60,35.90,54.10,38.90,56.70,41.00,52.60,33.40,54.90,49.10,34.2930794,-111.6646957
Arkansas,47.90,41.30,53.60,38.70,52.50,37.50,50.70,40.10,52.80,41.40,34.8999214,-92.4388657
California,55.70,36.10,58.80,40.20,60.90,44.00,55.10,29.90,56.50,49.60,37.2551003,-119.6175232
Colorado,57.50,46.30,66.70,47.30,71.00,50.60,69.90,53.70,70.00,63.00,38.9985428,-105.5478134
Connecticut,61.90,42.30,65.00,46.60,66.60,45.90,61.30,42.30,63.70,54.40,41.5735016,-72.7383041
Delaware,59.00,41.10,64.20,42.30,65.60,47.50,62.30,34.30,64.20,51.40,39.0081253,-75.4674683
D.C.,48.30,30.10,54.30,28.30,61.50,28.90,61.50,35.30,60.40,43.70,38.906189,-77.0172653
Florida,55.90,45.60,64.40,39.60,66.10,41.70,62.80,42.80,64.50,54.90,28.4925804,-82.4722214
Georgia,45.80,35.40,56.20,34.70,62.50,39.80,59.00,38.20,59.10,55.00,32.6483307,-83.4445572
Hawaii,44.20,43.80,48.20,37.90,48.80,39.90,44.20,36.20,42.30,39.30,19.5985184,-155.5185547
Idaho,57.20,44.70,63.20,45.40,63.60,42.30,59.80,39.30,59.20,50.00,44.3890343,-114.6594162
Illinois,56.20,41.40,61.50,40.20,63.60,42.40,58.90,40.20,61.60,51.40,40.1139374,-89.1587677
Indiana,49.30,33.90,54.80,36.60,59.10,37.10,55.20,27.80,56.40,46.90,39.9198036,-86.2817993
Iowa,63.20,47.90,69.90,48.10,69.40,49.90,70.30,49.80,68.40,57.70,42.0746994,-93.4999695
Kansas,55.60,44.00,61.60,43.60,62.00,41.70,56.90,42.50,57.70,51.20,38.484726,-98.3801727
Kentucky,52.20,37.20,58.70,40.40,57.90,42.40,55.70,44.20,58.60,48.60,37.5272331,-85.2876205
Louisiana,56.40,39.40,61.10,29.70,61.20,38.90,60.20,43.90,60.00,44.80,30.9665108,-91.8519058
Maine,67.20,50.80,73.80,54.20,70.60,55.20,68.20,58.10,70.70,60.20,45.3152809,-69.203949
Maryland,55.50,46.30,62.90,46.70,67.00,46.40,66.60,41.70,66.40,54.20,38.9525223,-76.7012177
Massachusetts,59.90,49.20,64.20,48.80,66.80,48.90,65.90,44.10,67.20,54.60,42.1561852,-71.5661926
Michigan,59.90,44.50,66.60,52.10,69.20,44.50,64.70,42.70,64.70,57.80,44.8626175,-85.7351379
Minnesota,69.50,64.10,78.40,60.10,77.80,55.40,76.00,50.40,74.10,64.20,46.3493576,-94.1983719
Mississippi,49.10,30.10,55.70,29.40,61.00,37.00,59.30,29.00,55.20,42.70,32.7218018,-89.6562424
Missouri,58.20,45.60,65.30,50.00,67.60,44.50,62.20,31.70,62.20,53.40,38.3679657,-92.4778824
Montana,61.60,48.40,64.40,56.40,66.30,47.50,62.50,46.90,61.80,62.00,47.0334816,-109.6450806
Nebraska,56.90,39.90,62.90,47.60,62.90,37.50,60.30,40.50,62.80,51.80,41.5272713,-99.8111038
Nevada,45.20,36.20,55.30,36.90,57.00,41.30,56.40,29.30,57.40,47.50,39.3564186,-116.6554108
New Hampshire,63.90,48.10,70.90,41.40,71.70,45.70,70.20,47.60,71.40,54.60,43.6855278,-71.5775986
